一;One
叱;Scold
娯;Recreation
斗;Ladle
朱;Vermilion
丘;Hill
梨;Pear
僕;I
匹;Small Animal
叫;Shout
釣;Fishing
髪;Hair
嵐;Storm
笠;Conical Hat
涙;Teardrop
缶;Can
姫;Princess
棚;Shelf
粒;Grains
砲;Cannon
雷;Thunder
芽;Sprout
塔;Tower
澄;Lucidity
矛;Spear
肌;Skin
舟;Boat
鐘;Bell
凶;Villain
塊;Lump
狩;Hunt
頃;Approximate
魂;Soul
脚;Leg
也;Considerably
井;Well
呪;Curse
嬢;Miss
暦;Calendar
曇;Cloudy
眺;Stare
裸;Naked
賭;Gamble
疲;Exhausted
塾;Cram School
卓;Table
磨;Polish
菌;Bacteria
陰;Shade
霊;Ghost
湿;Damp
硬;Stiff
稼;Earnings
嫁;Bride
溝;Gutter
滝;Waterfall
狂;Lunatic
翔;Fly
墨;Black Ink
鳩;Dove
穏;Calm
鈍;Dull
魔;Devil
寮;Dormitory
盆;Lantern Festival
棟;Pillar
吾;I
斬;Slice
寧;Rather
椅;Chair
歳;Years Old
涼;Cool
猿;Monkey
瞳;Pupil
鍵;Key
零;Zero
碁;Go
租;Tariff
幽;Secluded
泡;Bubbles
癖;Habit
鍛;Forge
錬;Tempering
穂;Head of Plant
帝;Sovereign
瞬;Blink
菊;Chrysanthemum
誇;Pride
庄;Manor
阻;Thwart
黙;Shut Up
俵;Sack
綿;Cotton
架;Shelf
砕;Smash
粘;Sticky
粧;Cosmetics
欺;Deceit
詐;Lie
霧;Fog
柳;Willow
伊;Italy
佐;Help
尺;Shaku
哀;Pathetic
唇;Lips
塀;Fence
墜;Crash
如;Likeness
婆;Old Woman
崖;Cliff
帽;Hat
幣;Cash
恨;Grudge
憎;Hate
憩;Rest
扇;Folding Fan
扉;Front Door
挿;Insert
掌;Manipulate
滴;Drip
炊;Cook
爽;Refreshing
畳;Tatami Mat
瞭;Clear
箸;Chopsticks
胴;Torso
芯;Wick
虹;Rainbow
帳;Notebook
蚊;Mosquito
蛇;Snake
貼;Paste
辱;Humiliate
鉢;Bowl
闇;Darkness
隙;Crevice
霜;Frost
飢;Starve
餓;Starve
畜;Livestock
迅;Swift
騎;Horse Riding
蓄;Amass
尽;Use Up
彩;Coloring
憶;Recollection
溶;Melt
耐;Resistant
踊;Dance
賢;Clever
輝;Radiance
脅;Threaten
麻;Hemp
灯;Lamp
咲;Blossom
培;Cultivate
悔;Regret
脇;Armpit
遂;Accomplish
班;Squad
塗;Paint
斜;Diagonal
殴;Assault
盾;Shield
穫;Harvest
巾;Towel
駒;Chess Piece
紫;Purple
抽;Pluck
誓;Vow
悟;Comprehension
拓;Cultivation
拘;Arrest
礎;Foundation
鶴;Crane
刈;Prune
剛;Sturdy
唯;Solely
壇;Podium
尼;Nun
概;Approximation
浸;Immersed
淡;Faint
煮;Boil
覆;Capsize
謀;Conspire
陶;Pottery
隔;Isolate
征;Subjugate
陛;Highness
俗;Vulgar
桑;Mulberry
潤;Watered
珠;Pearl
衰;Decline
奨;Encourage
劣;Inferiority
勘;Intuition
妃;Princess
丈;Height
峰;Summit
巧;Adept
邪;Wicked
駄;Burdensome
唐;China
廷;Courts
鬱;Gloom
鰐;Alligator
蟹;Crab
簿;Record Book
彰;Clear
漫;Manga
訂;Revise
諮;Consult
銘;Inscription
堰;Dam
堤;Embankment
漂;Drift
翻;Flip
軌;Rut
后;Empress
奮;Stirred Up
亭;Restaurant
仰;Look Up To
伯;Chief
偶;Accidentally
淀;Eddy
墳;Tomb
壮;Robust
把;Bundle
搬;Transport
晶;Crystal
洞;Cave
涯;Horizon
疫;Epidemic
孔;Cavity
偉;Greatness
頂;Summit
召;Call
挟;Between
枯;Wither
沸;Boil
濯;Wash
燥;Dry Up
瓶;Bottle
耕;Plow
肯;Agreement
脂;Fat
膚;Skin
軒;House Counter
軟;Soft
郊;Suburbs
隅;Corner
隻;Ship Counter
邸;Residence
郡;County
釈;Explanation
肪;Obese
喚;Scream
媛;Princess
貞;Chastity
玄;Mysterious
苗;Seedling
渦;Whirlpool
慈;Mercy
襟;Collar
蓮;Lotus
亮;Clear
聡;Wise
浦;Bay
塚;Mound
陥;Cave In
貫;Pierce
覇;Leadership
呂;Bath
茨;Briar
擁;Embrace
孤;Orphan
賠;Compensation
鎖;Chain
噴;Erupt
祥;Auspicious
牲;Offering
秩;Order
唆;Instigate
膨;Swell
芳;Perfume
恒;Constant
倫;Ethics
陳;Exhibit
須;Necessary
偏;Biased
遇;Treatment
糧;Provisions
殊;Especially
慢;Ridicule
没;Die
怠;Lazy
遭;Encounter
惰;Lazy
猟;Hunting
乃;From
綾;Design
颯;Quick
隼;Falcon
輔;Help
寛;Tolerance
胞;Cell
浄;Cleanse
随;All
稿;Draft
丹;Rust Colored
壌;Soil
舗;Shop
騰;Inflation
緯;Latitude
艇;Rowboat
披;Expose
錦;Brocade
准;Semi
剰;Surplus
繊;Fiber
諭;Admonish
惨;Disaster
虐;Oppress
据;Install
徐;Gently
搭;Board
蒙;Darkness
鯉;Carp
戴;Receive
緋;Scarlet
曙;Dawn
胡;Barbarian
瓜;Melon
帥;Commander
啓;Enlighten
葵;Hollyhock
駿;Speed
諒;Comprehend
莉;Jasmine
鯨;Whale
荘;Villa
栽;Planting
拐;Kidnap
冠;Crown
勲;Merit
酬;Repay
紋;Family Crest
卸;Wholesale
欄;Column
逸;Deviate
尚;Furthermore
顕;Appear
粛;Solemn
愚;Foolish
庶;All
践;Practice
呈;Present
疎;Neglect
疾;Rapidly
謡;Noh Chanting
鎌;Sickle
酷;Cruel
叙;Describe
且;Also
痴;Stupid
呆;Shock
哺;Suckle
傲;Proud
茎;Stem
阿;Flatter
悠;Leisure
杏;Apricot
茜;Red Dye
栞;Bookmark
伏;Bow
鎮;Tranquilize
奉;Dedicate
憂;Grief
朴;Simple
栃;Horse Chestnut
惜;Frugal
佳;Excellent
悼;Grieve
該;The Above
赴;Proceed
髄;Marrow
傍;Nearby
累;Accumulate
癒;Healing
郭;Enclosure
尿;Urine
賓;VIP
虜;Captive
憾;Remorse
弥;Increasing
粗;Coarse
循;Circulation
凝;Congeal
脊;Stature
昌;Prosperous
旦;Dawn
愉;Pleasant
抹;Erase
栓;Cork
之;This
龍;Imperial
遼;Distant
瑛;Crystal
那;What
拍;Beat
猶;Still
宰;Manager
寂;Lonely
縫;Sew
呉;Give
凡;Mediocre
恭;Respect
錯;Confused
穀;Grain
陵;Mausoleum
弊;Evil
舶;Ship
窮;Destitute
悦;Delight
縛;Bind
轄;Control
弦;Chord
窒;Suffocate
洪;Flood
摂;In Addition
飽;Bored
紳;Gentleman
庸;Common
靖;Peaceful
嘉;Esteem
搾;Squeeze
蝶;Butterfly
碑;Tombstone
尉;Military Officer
凛;Cold
匠;Artisan
遥;Far Off
智;Wisdom
柴;Brushwood
賊;Robber
鼓;Drum
旋;Rotation
腸;Intestines
槽;Tank
伐;Fell
漬;Pickle
坪;Two Mat Area
紺;Navy
羅;Spread Out
峡;Ravine
俸;Salary
醸;Brew
弔;Condolence
乙;Latter
遍;Universal
衡;Equilibrium
款;Article
閲;Inspection
喝;Scold
敢;Daring
膜;Membrane
盲;Blind
胎;Womb
酵;Fermentation
堕;Degenerate
遮;Intercept
烏;Crow
凸;Convex
凹;Concave
楓;Maple
哉;Question Mark
蒼;Pale
瑠;Lapis Lazuli
萌;Sprout
硫;Sulfur
赦;Pardon
窃;Steal
慨;Sigh
扶;Aid
戯;Play
忌;Mourning
濁;Muddy
奔;Run
肖;Resemblance
朽;Rot
殻;Husk
享;Receive
藩;Fiefdom
媒;Mediator
鶏;Chicken
嘱;Request
迭;Alternate
椎;Spine
絹;Silk
陪;Accompany
剖;Divide
譜;Genealogy
淑;Graceful
帆;Sail
憤;Resent
酌;Serve
暁;Dawn
傑;Greatness
錠;Lock
凌;Endure
瑞;Congratulations
菅;Sedge
漣;Ripples
璃;Glassy
遷;Transition
拙;Clumsy
峠;Peak
篤;Deliberate
叔;Uncle
雌;Female
堪;Endure
吟;Recital
甚;Very
崇;Worship
漆;Lacquer
岬;Cape
紡;Spinning
礁;Reef
屯;Barracks
姻;Marry
擬;Imitate
睦;Friendly
閑;Leisure
曹;Official
詠;Compose
卑;Lowly
侮;Despise
鋳;Cast
蔑;Scorn
胆;Guts
浪;Wander
禍;Evil
